"Sample IDs","Wells","Dilutions","Time","RFU","Norm","Deriv"
"P","A01","1000",0,611,1.16603053435115,NA
"P","A01","1000",0.75,524,1,NA
"P","A01","1000",1.5,576,1.09923664122137,0.00254452926208656
"P","A01","1000",2.25,609,1.16221374045802,0.0629770992366412
"P","A01","1000",3,615,1.1736641221374,0.0298982188295165
"P","A01","1000",3.75,623,1.18893129770992,0.00508905852417304
"P","A01","1000",4.5,623,1.18893129770992,0.0139949109414758
"P","A01","1000",5.25,617,1.17748091603053,-0.00254452926208648
"P","A01","1000",6,637,1.21564885496183,0.00127226463104331
"P","A01","1000",6.75,619,1.18129770992366,0.00890585241730276
"P","A01","1000",7.5,625,1.19274809160305,-0.00318066157760814
"P","A01","1000",8.25,631,1.20419847328244,0.00318066157760814
"P","A01","1000",9,632,1.20610687022901,-0.0178117048346056
"P","A01","1000",9.75,624,1.19083969465649,-0.0127226463104326
"P","A01","1000",10.5,597,1.13931297709924,-0.0197201017811705
"P","A01","1000",11.25,611,1.16603053435115,-0.0171755725190839
"P","A01","1000",12,601,1.1469465648855,0.00381679389312972
"P","A01","1000",12.75,597,1.13931297709924,-0.0133587786259542
"P","A01","1000",13.5,603,1.15076335877863,-0.00445292620865138
"P","A01","1000",14.25,590,1.12595419847328,-0.0108142493638677
"P","A01","1000",15,594,1.13358778625954,-0.0159033078880407
"P","A01","1000",15.75,580,1.10687022900763,-0.0133587786259542
"P","A01","1000",16.5,578,1.1030534351145,-0.0209923664122137
"P","A01","1000",17.25,569,1.08587786259542,-0.00954198473282442
"P","A01","1000",18,561,1.0706106870229,0.00445292620865138
"P","A01","1000",18.75,565,1.07824427480916,0.413486005089059
"P","A01","1000",19.5,585,1.11641221374046,1.46564885496183
"P","A01","1000",20.25,1219,2.3263358778626,1.43575063613232
"P","A01","1000",21,2865,5.4675572519084,1.43193384223919
"P","A01","1000",21.75,2822,5.38549618320611,1.03562340966921
"P","A01","1000",22.5,2836,5.41221374045802,-0.00508905852417296
"P","A01","1000",23.25,2847,5.43320610687023,0.0337150127226463
"P","A01","1000",24,2857,5.45229007633588,0.00190839694656475
"P","A01","1000",24.75,2875,5.48664122137405,0.00826972010178118
"P","A01","1000",25.5,2839,5.41793893129771,-0.0209923664122137
"P","A01","1000",26.25,2860,5.45801526717557,-0.0152671755725192
"P","A01","1000",27,2824,5.38931297709924,0.000636132315521879
"P","A01","1000",27.75,2851,5.44083969465649,-0.00954198473282464
"P","A01","1000",28.5,2840,5.41984732824428,0.0229007633587788
"P","A01","1000",29.25,2845,5.4293893129771,0.0279898218829517
"P","A01","1000",30,2860,5.45801526717557,0.0279898218829514
"P","A01","1000",30.75,2895,5.52480916030534,0.0298982188295168
"P","A01","1000",31.5,2884,5.50381679389313,0.040712468193384
"P","A01","1000",32.25,2892,5.51908396946565,0.0394402035623408
"P","A01","1000",33,2924,5.58015267175572,0.0394402035623411
"P","A01","1000",33.75,2957,5.64312977099237,0.0623409669211193
"P","A01","1000",34.5,2946,5.62213740458015,0.0343511450381682
"P","A01","1000",35.25,2990,5.70610687022901,0.0349872773536897
"P","A01","1000",36,2978,5.68320610687023,0.0540712468193384
"P","A01","1000",36.75,3012,5.74809160305344,0.0184478371501274
"P","A01","1000",37.5,3031,5.78435114503817,0.035623409669211
"P","A01","1000",38.25,3019,5.76145038167939,0.0330788804071247
"P","A01","1000",39,3034,5.79007633587786,0.0152671755725189
"P","A01","1000",39.75,3064,5.84732824427481,0.0260814249363867
"P","A01","1000",40.5,3055,5.83015267175572,0.03117048346056
"P","A01","1000",41.25,3060,5.83969465648855,0.0038167938931298
"P","A01","1000",42,3083,5.88358778625954,0.0241730279898219
"P","A01","1000",42.75,3070,5.8587786259542,0.0152671755725192
"P","A01","1000",43.5,3093,5.90267175572519,0.0127226463104326
"P","A01","1000",44.25,3084,5.88549618320611,0.0432569974554706
"P","A01","1000",45,3103,5.92175572519084,0.0216284987277353
"P","A01","1000",45.75,3138,5.98854961832061,0.0324427480916031
"P","A01","1000",46.5,3127,5.9675572519084,0.00954198473282434
"P","A01","1000",47.25,3135,5.98282442748092,-0.0241730279898219
"P","A01","1000",48,3118,5.95038167938931,0.00699745547073801
"P","A01","1000",48.75,3100,5.91603053435114,0.0209923664122137
"P","A01","1000",49.5,3138,5.98854961832061,-0.00318066157760821
"P","A01","1000",50.25,3168,6.04580152671756,0.0432569974554709
"P","A01","1000",51,3113,5.94083969465649,0.0279898218829517
"P","A01","1000",51.75,3168,6.04580152671756,0.0209923664122137
"P","A01","1000",52.5,3182,6.07251908396947,0.012086513994911
"P","A01","1000",53.25,3201,6.1087786259542,-0.00508905852417326
"P","A01","1000",54,3132,5.97709923664122,0.0133587786259541
"P","A01","1000",54.75,3160,6.03053435114504,0.00763358778625959
"P","A01","1000",55.5,3203,6.11259541984733,0.0521628498727737
"P","A01","1000",56.25,3213,6.13167938931298,0.0432569974554709
"P","A01","1000",57,3214,6.13358778625954,0.047709923664122
"P","A01","1000",57.75,3228,6.16030534351145,0.0241730279898216
"P","A01","1000",58.5,3278,6.25572519083969,0.0432569974554706
"P","A01","1000",59.25,3251,6.20419847328244,0.059796437659033
"P","A01","1000",60,3282,6.26335877862595,0.0222646310432572
"P","A01","1000",60.75,3322,6.33969465648855,0.0241730279898219
"P","A01","1000",61.5,3313,6.32251908396947,0.0432569974554706
"P","A01","1000",62.25,3289,6.27671755725191,0.0184478371501274
"P","A01","1000",63,3350,6.39312977099237,0.0318066157760812
"P","A01","1000",63.75,3351,6.39503816793893,0.0496183206106871
"P","A01","1000",64.5,3363,6.41793893129771,0.0114503816793894
"P","A01","1000",65.25,3367,6.42557251908397,0.0229007633587785
"P","A01","1000",66,3368,6.42748091603053,0.0407124681933843
"P","A01","1000",66.75,3387,6.46374045801527,0.0222646310432569
"P","A01","1000",67.5,3427,6.54007633587786,0.0413486005089059
"P","A01","1000",68.25,3402,6.49236641221374,0.0349872773536894
"P","A01","1000",69,3433,6.55152671755725,0.0318066157760815
"P","A01","1000",69.75,3442,6.56870229007634,0.0508905852417305
"P","A01","1000",70.5,3477,6.63549618320611,0.0655216284987278
"P","A01","1000",71.25,3482,6.64503816793893,NA
"P","A01","1000",72,3536,6.74809160305344,NA
"P1","A02","1000",0,599,1.16764132553606,NA
"P1","A02","1000",0.75,513,1,NA
"P1","A02","1000",1.5,545,1.06237816764133,-0.0188434048083171
"P1","A02","1000",2.25,559,1.08966861598441,0.0409356725146199
"P1","A02","1000",3,570,1.11111111111111,0.0188434048083171
"P1","A02","1000",3.75,576,1.12280701754386,0.018843404808317
"P1","A02","1000",4.5,574,1.11890838206628,0.0129954515919428
"P1","A02","1000",5.25,588,1.14619883040936,0.00584795321637429
"P1","A02","1000",6,590,1.15009746588694,0.0110461338531514
"P1","A02","1000",6.75,585,1.14035087719298,0.00129954515919432
"P1","A02","1000",7.5,591,1.15204678362573,0.00714749837556853
"P1","A02","1000",8.25,590,1.15009746588694,0.00584795321637429
"P1","A02","1000",9,601,1.17153996101365,0.00129954515919424
"P1","A02","1000",9.75,594,1.15789473684211,0.00909681611435994
"P1","A02","1000",10.5,593,1.15594541910331,-0.00909681611435994
"P1","A02","1000",11.25,604,1.17738791423002,-0.00389863547758288
"P1","A02","1000",12,587,1.14424951267057,-0.00389863547758281
"P1","A02","1000",12.75,588,1.14619883040936,-0.0194931773879142
"P1","A02","1000",13.5,587,1.14424951267057,-0.00454840805718004
"P1","A02","1000",14.25,574,1.11890838206628,-0.00844704353476278
"P1","A02","1000",15,580,1.13060428849903,-0.0168940870695257
"P1","A02","1000",15.75,575,1.12085769980507,-0.00519818063677713
"P1","A02","1000",16.5,561,1.09356725146199,-0.0110461338531513
"P1","A02","1000",17.25,566,1.10331384015595,-0.0123456790123457
"P1","A02","1000",18,563,1.09746588693957,-0.00259909031838856
"P1","A02","1000",18.75,556,1.08382066276803,-0.00519818063677713
"P1","A02","1000",19.5,557,1.08576998050682,-0.00584795321637429
"P1","A02","1000",20.25,558,1.08771929824561,-0.00584795321637421
"P1","A02","1000",21,554,1.07992202729045,-0.00389863547758281
"P1","A02","1000",21.75,547,1.06627680311891,-0.00584795321637429
"P1","A02","1000",22.5,551,1.07407407407407,-0.00454840805717997
"P1","A02","1000",23.25,549,1.07017543859649,-0.00129954515919432
"P1","A02","1000",24,547,1.06627680311891,-0.00519818063677713
"P1","A02","1000",24.75,545,1.06237816764133,-0.00649772579597137
"P1","A02","1000",25.5,543,1.05847953216374,-0.00324886289798572
"P1","A02","1000",26.25,539,1.05068226120858,0.0019493177387914
"P1","A02","1000",27,542,1.05653021442495,-0.00454840805718004
"P1","A02","1000",27.75,548,1.0682261208577,-0.00454840805718004
"P1","A02","1000",28.5,536,1.0448343079922,0.0019493177387914
"P1","A02","1000",29.25,532,1.03703703703704,-0.00584795321637421
"P1","A02","1000",30,545,1.06237816764133,-0.00324886289798565
"P1","A02","1000",30.75,539,1.05068226120858,0.00129954515919432
"P1","A02","1000",31.5,531,1.03508771929825,-0.0097465886939571
"P1","A02","1000",32.25,534,1.04093567251462,-0.00454840805718004
"P1","A02","1000",33,530,1.03313840155945,0.0019493177387914
"P1","A02","1000",33.75,532,1.03703703703704,-0.00389863547758288
"P1","A02","1000",34.5,534,1.04093567251462,-0.00064977257959716
"P1","A02","1000",35.25,528,1.02923976608187,-0.0097465886939571
"P1","A02","1000",36,529,1.03118908382066,-0.00714749837556853
"P1","A02","1000",36.75,517,1.00779727095517,-0.00129954515919424
"P1","A02","1000",37.5,523,1.01949317738791,-0.00324886289798572
"P1","A02","1000",38.25,526,1.02534113060429,-0.00259909031838856
"P1","A02","1000",39,524,1.02144249512671,-0.00714749837556861
"P1","A02","1000",39.75,513,1,-0.00909681611436001
"P1","A02","1000",40.5,512,0.998050682261209,-0.00844704353476281
"P1","A02","1000",41.25,512,0.998050682261209,-0.00259909031838856
"P1","A02","1000",42,511,0.996101364522417,0.00324886289798572
"P1","A02","1000",42.75,509,0.992202729044834,-0.0019493177387914
"P1","A02","1000",43.5,517,1.00779727095517,0.00844704353476281
"P1","A02","1000",44.25,509,0.992202729044834,0.00324886289798572
"P1","A02","1000",45,524,1.02144249512671,-0.00714749837556857
"P1","A02","1000",45.75,514,1.00194931773879,0.0019493177387914
"P1","A02","1000",46.5,506,0.98635477582846,0.00649772579597145
"P1","A02","1000",47.25,512,0.998050682261209,-0.00584795321637429
"P1","A02","1000",48,534,1.04093567251462,0.00194931773879144
"P1","A02","1000",48.75,505,0.984405458089669,0.0123456790123457
"P1","A02","1000",49.5,509,0.992202729044834,0.0298895386614684
"P1","A02","1000",50.25,531,1.03508771929825,0.523716699155296
"P1","A02","1000",51,580,1.13060428849903,0.92722547108512
"P1","A02","1000",51.75,1311,2.55555555555556,1.04873294346979
"P1","A02","1000",52.5,1936,3.77387914230019,1.14554905782976
"P1","A02","1000",53.25,2145,4.1812865497076,0.790123456790123
"P1","A02","1000",54,2343,4.5672514619883,0.46133853151397
"P1","A02","1000",54.75,2527,4.92592592592593,0.409356725146199
"P1","A02","1000",55.5,2646,5.15789473684211,0.369720597790773
"P1","A02","1000",56.25,2775,5.4093567251462,0.313840155945419
"P1","A02","1000",57,2912,5.67641325536062,0.313840155945419
"P1","A02","1000",57.75,3010,5.86744639376218,0.275503573749188
"P1","A02","1000",58.5,3129,6.09941520467836,0.212475633528265
"P1","A02","1000",59.25,3199,6.23586744639376,0.231968810916179
"P1","A02","1000",60,3239,6.31384015594542,0.204678362573099
"P1","A02","1000",60.75,3367,6.56335282651072,0.199480181936322
"P1","A02","1000",61.5,3444,6.71345029239766,0.220922677063028
"P1","A02","1000",62.25,3506,6.83430799220273,0.220922677063028
"P1","A02","1000",63,3579,6.9766081871345,0.187134502923977
"P1","A02","1000",63.75,3707,7.22612085769981,0.211176088369071
"P1","A02","1000",64.5,3732,7.27485380116959,0.183885640025991
"P1","A02","1000",65.25,3831,7.46783625730994,0.158544509421702
"P1","A02","1000",66,3862,7.52826510721248,0.16829109811566
"P1","A02","1000",66.75,3951,7.70175438596491,0.176738141650422
"P1","A02","1000",67.5,3991,7.77972709551657,0.167641325536063
"P1","A02","1000",68.25,4103,7.99805068226121,0.151397011046134
"P1","A02","1000",69,4120,8.03118908382066,0.143599740090968
"P1","A02","1000",69.75,4184,8.15594541910331,0.10006497725796
"P1","A02","1000",70.5,4212,8.21052631578947,0.134502923976608
"P1","A02","1000",71.25,4257,8.29824561403509,NA
"P1","A02","1000",72,4327,8.43469785575049,NA
"P1","A03","1000",0,564,1.18736842105263,NA
"P1","A03","1000",0.75,475,1,NA
"P1","A03","1000",1.5,515,1.08421052631579,-0.0168421052631579
"P1","A03","1000",2.25,533,1.12210526315789,0.0540350877192982
"P1","A03","1000",3,540,1.13684210526316,0.0308771929824561
"P1","A03","1000",3.75,552,1.16210526315789,0.0203508771929825
"P1","A03","1000",4.5,559,1.17684210526316,0.016140350877193
"P1","A03","1000",5.25,562,1.18315789473684,0.0147368421052632
"P1","A03","1000",6,563,1.18526315789474,0.00210526315789476
"P1","A03","1000",6.75,573,1.20631578947368,0.00701754385964907
"P1","A03","1000",7.5,562,1.18315789473684,0.00982456140350877
"P1","A03","1000",8.25,572,1.20421052631579,-0.00280701754385963
"P1","A03","1000",9,577,1.21473684210526,0
"P1","A03","1000",9.75,569,1.19789473684211,-0.00842105263157896
"P1","A03","1000",10.5,562,1.18315789473684,-0.0126315789473684
"P1","A03","1000",11.25,560,1.17894736842105,-0.00771929824561409
"P1","A03","1000",12,559,1.17684210526316,-0.0105263157894737
"P1","A03","1000",12.75,558,1.17473684210526,-0.015438596491228
"P1","A03","1000",13.5,547,1.15157894736842,-0.016140350877193
"P1","A03","1000",14.25,538,1.13263157894737,-0.00982456140350877
"P1","A03","1000",15,536,1.12842105263158,-0.00842105263157896
"P1","A03","1000",15.75,544,1.14526315789474,-0.00912280701754383
"P1","A03","1000",16.5,535,1.12631578947368,-0.0119298245614035
"P1","A03","1000",17.25,525,1.10526315789474,-0.0140350877192982
"P1","A03","1000",18,519,1.09263157894737,-0.00280701754385963
"P1","A03","1000",18.75,524,1.10315789473684,-0.0028070175438597
"P1","A03","1000",19.5,531,1.11789473684211,-0.00350877192982457
