"Rate of Amyloid Formation in s (448-10/482-10) based on Time to threshold","Sample IDs","Raw Data (448-10/482-10)","Dilutions","Raw Data  (448-10/482-10)"
"2.4499999999999999E-5","P","423",-3,NA
"3.9e-06"," 1","440",-1,NA
"3.9e-06"," 2","437",-1,NA
"3.9e-06"," 3","436",-1,NA
"3.9e-06"," 4","431",-1,NA
"3.9e-06"," 5","416",-1,NA
"3.9e-06"," 6","421",-1,NA
"3.9e-06"," 7","416",-1,NA
"3.9e-06"," 8","412",-1,NA
"3.9e-06"," 9","415",-1,NA
"3.9e-06","10","408",-1,NA
"3.9e-06","11","385",-1,NA
"2.1800000000000001E-5","P","463",-3,NA
"3.9e-06"," 1","484",-1,NA
"3.9e-06"," 2","481",-1,NA
"3.9e-06"," 3","482",-1,NA
"3.9e-06"," 4","466",-1,NA
"3.9e-06"," 5","475",-1,NA
"3.9e-06"," 6","459",-1,NA
"3.9e-06"," 7","463",-1,NA
"7.4e-06"," 8","454",-1,NA
"9.9e-06"," 9","448",-1,NA
"3.9e-06","10","451",-1,NA
"5.3e-06","11","427",-1,NA
"2.8E-5","P","488",-3,NA
"3.9e-06"," 1","491",-1,NA
"3.9e-06"," 2","498",-1,NA
"3.9e-06"," 3","507",-1,NA
"3.9e-06"," 4","504",-1,NA
"3.9e-06"," 5","482",-1,NA
"5.3e-06"," 6","483",-1,NA
"5.0e-06"," 7","459",-1,NA
"3.9e-06"," 8","463",-1,NA
"3.9e-06"," 9","459",-1,NA
"4.5e-06","10","455",-1,NA
"6.2e-06","11","440",-1,NA
"4.3600000000000003E-5","P","482",-3,NA
"3.9e-06"," 1","498",-1,NA
"3.9e-06"," 2","518",-1,NA
"3.9e-06"," 3","511",-1,NA
"3.9e-06"," 4","500",-1,NA
"3.9e-06"," 5","486",-1,NA
"3.9e-06"," 6","480",-1,NA
"3.9e-06"," 7","484",-1,NA
"3.9e-06"," 8","464",-1,NA
"3.9e-06"," 9","469",-1,NA
"3.9e-06","10","443",-1,NA
"3.9e-06","11","438",-1,NA
"3.8999999999999999E-6","N","421",-3,NA
"3.9e-06","12","467",-1,NA
"3.9e-06","13","468",-1,NA
"3.9e-06","14","463",-1,NA
"3.9e-06","15","467",-1,NA
"3.9e-06","16","474",-1,NA
"3.9e-06","17","450",-1,NA
"3.9e-06","18","463",-1,NA
"3.9e-06","19","452",-1,NA
"3.9e-06","20","438",-1,NA
"3.9e-06","21","420",-1,NA
"3.9e-06","22","417",-1,NA
"3.8999999999999999E-6","N","461",-3,NA
"3.9e-06","12","490",-1,NA
"3.9e-06","13","487",-1,NA
"3.9e-06","14","476",-1,NA
"4.4e-06","15","490",-1,NA
"3.9e-06","16","491",-1,NA
"6.0e-06","17","492",-1,NA
"3.9e-06","18","490",-1,NA
"7.8e-06","19","480",-1,NA
"3.9e-06","20","481",-1,NA
"7.0e-06","21","446",-1,NA
"5.6e-06","22","449",-1,NA
"3.8999999999999999E-6","N","447",-3,NA
"3.9e-06","12","498",-1,NA
"3.9e-06","13","483",-1,NA
"4.2e-06","14","482",-1,NA
"3.9e-06","15","479",-1,NA
"3.9e-06","16","494",-1,NA
"7.0e-06","17","501",-1,NA
"3.9e-06","18","480",-1,NA
"3.9e-06","19","458",-1,NA
"3.9e-06","20","458",-1,NA
"7.8e-06","21","452",-1,NA
"5.3e-06","22","433",-1,NA
"3.8999999999999999E-6","N","441",-3,NA
"3.9e-06","12","479",-1,NA
"3.9e-06","13","469",-1,NA
"4.8e-06","14","469",-1,NA
"7.5e-06","15","448",-1,NA
"3.9e-06","16","462",-1,NA
"5.6e-06","17","470",-1,NA
"3.9e-06","18","450",-1,NA
"3.9e-06","19","453",-1,NA
"3.9e-06","20","434",-1,NA
"3.9e-06","21","429",-1,NA
"4.4e-06","22","424",-1,NA
NA,"P","351",-3,NA
NA,"23","366",-1,NA
NA,"24","370",-1,NA
NA,"25","366",-1,NA
NA,"26","372",-1,NA
NA,"27","382",-1,NA
NA,"28","364",-1,NA
NA,"29","368",-1,NA
NA,"30","369",-1,NA
NA,"31","371",-1,NA
NA,"32","371",-1,NA
NA,"33","362",-1,NA
NA,"P","356",-3,NA
NA,"23","387",-1,NA
NA,"24","397",-1,NA
NA,"25","388",-1,NA
NA,"26","384",-1,NA
NA,"27","387",-1,NA
NA,"28","386",-1,NA
NA,"29","385",-1,NA
NA,"30","385",-1,NA
NA,"31","392",-1,NA
NA,"32","379",-1,NA
NA,"33","386",-1,NA
NA,"P","374",-3,NA
NA,"23","386",-1,NA
NA,"24","391",-1,NA
NA,"25","402",-1,NA
NA,"26","403",-1,NA
NA,"27","395",-1,NA
NA,"28","399",-1,NA
NA,"29","398",-1,NA
